name,mandal,year,age,area,community,cooptmember,edu,electioncat,occupation,party,pparty,president,sex,vp,vpparty
G Adi Narayana,Guntakal,2001,,Nagasamudram,,,,,,INC,,,,,
G Krishtanna,Guntakal,2001,,Ayyavaripalli,,,,,,TDP,,,,,
Parvathamma,Hindupur,2001,,Kirikera  1,,,,,,INC,,,,,
Thippanna,Hindupur,2001,,Chalivendla,,,,,,TDP,,,,,
B B Narsimhappa,Hindupur,2001,,Gollapuram,,,,,,BJP,,,,,
Sarojamma,Hindupur,2001,,Kirikera 2,,,,,,INC,,,,,
B. Naganna,Hindupur,2001,,Kaggallu,,,,,,TDP,,,,,
Govindappa,Hindupur,2001,,Beerepalli,,,,,,TDP,,,,,
T Sunitha,Hindupur,2001,,Malgur,,,,,,INC,,,,,
Padmavathi,Hindupur,2001,,Katipi,,,,,,TDP,,,,,
K Sri Ramireddy,Hindupur,2001,,Beevinahalli,,,,,,INC,,,,,
Chinna Reddy,Hindupur,2001,,Dalampalli,,,,,,TDP,,,,,
K H Nanjunda Reddy,Hindupur,2001,,Chowluru,,,,,,INC,,,,,
C Pedda Rajappa,Hindupur,2001,,Santhebidanur,,,,,,INC,,,,,
Eshwar Naik S,Kadiri,2001,,Yerradoddi,,,,,,TDP,,,,,
Maripe Narsimulu,Kadiri,2001,,Kalasamudram,,,,,,INC,,,,,
Muthanna Uthamma,Kadiri,2001,,Chalamakuntlapalli,,,,,,INC,,,,,
Burusu Laxmi Narayana,Kadiri,2001,,Patnam,,,,,,INC,,,,,
Boggiti Narsamma,Kadiri,2001,,K Brahmanapalli,,,,,,INC,,,,,
Bitra Ramalaxmamma,Kadiri,2001,,Kadiri Rural,,,,,,TDP,,,,,
Bogginti Nagamani,Kadiri,2001,,Eguvapalli,,,,,,INC,,,,,
Mude Ramana Naik,Kadiri,2001,,Mutyalacheruvu,,,,,,TDP,,,,,
Sugalichatri Naik,Kalyandurg,2001,,Manirevu,,,,,,INC,,,,,
Haridana Hanumakka,Kalyandurg,2001,,Ontimiddi,,,,,,IND,,,,,
Harijanaramanna,Kalyandurg,2001,,Garudapuram,,,,,,TDP,,,,,
H.Ramanjuneyulu,Kalyandurg,2001,,Palavai,,,,,,INC,,,,,
Laxmidevamma,Kalyandurg,2001,,Kalyandugr 1,,,,,,INC,,,,,
Vadde Anjanamma,Kalyandurg,2001,,Kalyandurg 3,,,,,,INC,,,,,
Badenna B,Kalyandurg,2001,,Golla,,,,,,TDP,,,,,
S.Gopal,Kalyandurg,2001,,Mudigallu,,,,,,INC,,,,,
Hanumanthappa,Kalyandurg,2001,,Chapiri,,,,,,INC,,,,,
Venkatamma,Kalyandurg,2001,,Duradakunta,,,,,,INC,,,,,
S.Sujatha,Kalyandurg,2001,,Thimasamudram,,,,,,INC,,,,,
Nallabothula Ammanamma,Kalyandurg,2001,,Dodagatta,,,,,,TDP,,,,,
T.Vannurswamy,Kalyandurg,2001,,Kalyandurg 2,,,,,,INC,,,,,
Amanullah,Kalyandurg,2001,,Kalyandurg 4,,,,,,INC,,,,,
K.Gopinath,Kalyandurg,2001,,Kalyandurg 5,,,,,,INC,,,,,
Laxmi Narayana B,Kalyandurg,2001,,Kalyandurg 6,,,,,,INC,,,,,
G.L.Harikrishna,Kalyandurg,2001,,East Kodipally,,,,,,TDP,,,,,
Bhtari Akkanna,Kalyandurg,2001,,Muddinayanipalli,,,,,,INC,,,,,
Kolakannur Thippe Swamy,Kalyandurg,2001,,Hilukallu,,,,,,TDP,,,,,
K Ganagadhara,Kambadur,2001,,Kambadur 3,,,,,,INC,,,,,
S Lakshmi Kanthamma,Kambadur,2001,,Ralla Ananthapuram,,,,,,TDP,,,,,
Naga Lakshmi,Kambadur,2001,,Karthanaparthi,,,,,,IND,,,,,
A Nagamma,Kambadur,2001,,Kambadur 1,,,,,,TDP,,,,,
Ramanjinamma,Kambadur,2001,,Pallur,,,,,,INC,,,,,
B Akkulappa,Kambadur,2001,,Nuthimadugu,,,,,,INC,,,,,
K Kodeppa,Kambadur,2001,,Thimmapuram,,,,,,INC,,,,,
Aruna Kumari,Kambadur,2001,,Chennampalli,,,,,,TDP,,,,,
P Govinda Reddy,Kambadur,2001,,Mulakanur,,,,,,INC,,,,,
K Narasimhulu,Kambadur,2001,,Kurakulapalli,,,,,,TDP,,,,,
G Sree Ramulu,Kambadur,2001,,Kambadur 2,,,,,,TDP,,,,,
H Maruthamma,Kanaganapalli,2001,,Muthavakuntla,,,,,,TDP,,,,,
Mallesu,Kanaganapalli,2001,,Kondapuram,,,,,,IND,,,,,
Golla Narayanamma,Kanaganapalli,2001,,Yellakuntla,,,,,,TDP,,,,,
Thumucherla B Madhavappa,Kanaganapalli,2001,,Thumucherla,,,,,,TDP,,,,,
Balavenkatamma,Kanaganapalli,2001,,Bhanukota,,,,,,TDP,,,,,
Valamasi Papanna,Kanaganapalli,2001,,Kanaganapalli,,,,,,TDP,,,,,
M Varlakshmi,Kanaganapalli,2001,,Konetinayanipalyam,,,,,,TDP,,,,,
B Prabhakar,Kanaganapalli,2001,,Thogarakunta,,,,,,TDP,,,,,
Dontireddigari Bavireddy,Kanaganapalli,2001,,Dadalur,,,,,,TDP,,,,,
Venkatapathi,Kanaganapalli,2001,,Mukthapuram,,,,,,TDP,,,,,
Laxmakka,Kanekal,2001,,Kanekal 4,,,,,,TDP,,,,,
H Anajaneyulu,Kanekal,2001,,Rachumarri,,,,,,TDP,,,,,
B Laxmi,Kanekal,2001,,Brahmasamudram,,,,,,TDP,,,,,
K Laxmi Devi,Kanekal,2001,,Kanekal 3,,,,,,TDP,,,,,
Boya Yerriswamy,Kanekal,2001,,Bennikal,,,,,,TDP,,,,,
Bheemappa,Kanekal,2001,,Hulikera,,,,,,INC,,,,,
Valem Hanumathappa,Kanekal,2001,,Thumbiganur,,,,,,TDP,,,,,
S K Parvathi,Kanekal,2001,,Hanakanahal,,,,,,TDP,,,,,
Aleri Vijaya Laxmi,Kanekal,2001,,N Hanumapuram,,,,,,INC,,,,,
P Shviarami Reddy,Kanekal,2001,,Ganigera,,,,,,INC,,,,,
P Basavanna Goud,Kanekal,2001,,Malyam,,,,,,INC,,,,,
P Sanjeevi Reddy,Kanekal,2001,,Yerragunta,,,,,,TDP,,,,,
Sarvasetti Raghavendra Gupta,Kanekal,2001,,Kanekal 1,,,,,,TDP,,,,,
Shek Pathimabee,Kanekal,2001,,Kanekal 2,,,,,,TDP,,,,,
Harijana Pedda Narasimhulu,Kothacheruvu,2001,,Kothacheruvu 1,,,,,,TDP,,,,,
Asha Bee D,Kothacheruvu,2001,,Pothulakunta,,,,,,TDP,,,,,
Neeru Ganti Venkatesu,Kothacheruvu,2001,,Byrampuram,,,,,,TDP,,,,,
Kammara Akkulappa,Kothacheruvu,2001,,Kesapuram,,,,,,TDP,,,,,
Maneri Umadevi,Kothacheruvu,2001,,Kodapaganipalli,,,,,,INC,,,,,
Salakka Gari Vani,Kothacheruvu,2001,,Kothacheruvu 2,,,,,,TDP,,,,,
